##name	100-en-fa.txt.index
##sourceLang	English
##targetLang	Persian
a priori	<div>/<font color="gray">ā´ prī ôr´ī</font>/<br><br /><div dir="rtl"><ol><li>(استدلال) از علت به معلول، از کلیات به جزئیات، قیاسی، استدلال پیش سوی"you slept little last night and worked hard today; therefore, you are tired" is a priori reasoningاستدلال ((تو دیشب کم خوابیدی و امروز خیلی کار کردی، بنابراین خسته هستی)) یک استدلال علت به معلول است.</li><li>تئوری و نظری (در مقابل تجربی و عملی)</li><li>بدون بررسی یا آزمایش قبلیReza's a priori rejection of my proposal disappointed meاز اینکه رضا پیشنهادم را بی‌درنگ رد کرد دلخور شدم.</li></ol></div></div><br />
a tempo	<div>/<font color="gray">ä tem´pō</font>/<br><br /><div dir="rtl">(دستور نواختن موسیقی) به وزن پیشین برگردید</div></div><br />
A1C	<div><div dir="rtl"><font color="green">مخفف</font><br>گروهبان یکم (نیروی هوایی امریکا)</div></div><br />
AA	<div><div dir="rtl"><font color="green">مخفف</font><br><ol><li>الکلی‌های ناشناس</li><li>ضد هوایی</li><li>فوق دیپلم در علوم انسانی</li></ol></div></div><br />
AAA	<div><div dir="rtl"><font color="green">مخفف</font><br>انجمن اتومبیلرانی امریکا</div></div><br />
AAAL	<div><div dir="rtl"><font color="green">مخفف</font><br>فرهنگستان هنر و ادبیات امریکا</div></div><br />
AAAS	<div><div dir="rtl"><font color="green">مخفف</font><br>انجمن توسعهٔ علوم امریکا</div></div><br />
aah	<div>/<font color="gray">ä</font>/<br><br /><div dir="rtl"><font color="green">اسم،  فعل لازم</font><br><ol><li>آخ و واخ</li><li>آخ و واخ کردنthey were oohing and aahing over the new TV showsآنها با دیدن نمایش‌های جدید تلویزیون اه و اوه می‌کردند.</li></ol></div></div><br />
AAM	<div><div dir="rtl"><font color="green">مخفف</font><br>موشک هوا به هوا</div></div><br />
aardvark	<div>/<font color="gray">ärd´värk´</font>/<br><br /><div dir="rtl"><font color="green">اسم</font><br>خوک خاکی (Tubulidentata و Orycteropus afer)</div></div><br />
aardwolf	<div>/<font color="gray">ärd´woolf´</font>/<br><br /><div dir="rtl"><font color="green">اسم،  جمع</font><br>گرگ خاکی (Proteles cristatas - از خانوادهٔ کفتار)</div></div><br />
aargh	<div>/<font color="gray">är</font>/<br><br /><div dir="rtl"><font color="green">حرف ندا</font><br>(صوت یا ندای حاکی از تنفر یا تهوع) اه</div></div><br />
Aaron	<div>/<font color="gray">er´ǝn</font>/<br><br /><div dir="rtl"><font color="green">اسم</font><br><ol><li>اسم خاص مذکر</li><li>(انجیل) هارون</li></ol></div></div><br />
Aaronic	<div>/<font color="gray">er än´ik</font>/<br><br /><div dir="rtl"><font color="green">صفت</font><br><ol><li>هارونی، وابسته به هارون</li><li>(کلیسای مورمون) وابسته به کشیشان درجه دوم</li></ol></div></div><br />
aarrgh	<div>/<font color="gray">är</font>/<br><br /><div dir="rtl"><font color="green">حرف ندا</font><br>(صوت یا ندای حاکی از تنفر یا تهوع) اه</div></div><br />
aarrghh	<div>/<font color="gray">är</font>/<br><br /><div dir="rtl"><font color="green">حرف ندا</font><br>(صوت یا ندای حاکی از تنفر یا تهوع) اه</div></div><br />
AAU	<div><div dir="rtl">اتحادیهٔ ورزشکاران آماتور</div></div><br />
AAUP	<div><div dir="rtl">انجمن استادان دانشگاه‌های امریکا</div></div><br />
AB	<div><div dir="rtl"><font color="green">مخفف</font><br><ol><li>ایالت آلبرتا (در کانادا)</li><li>(بیس‌بال) تعداد ضربه</li><li>لیسانس علوم انسانی</li></ol></div></div><br />
ab-	<div>/<font color="gray">ab</font>/,  /<font color="gray">ǝb</font>/<br><br /><div dir="rtl"><font color="green">پیشوند</font><br>بر کنار از، دور، دور از، از [abdicate]</div></div><br />
ab initio	<div>/<font color="gray">ab´i nish´ē ō´</font>/<br><br /><div dir="rtl">(لاتین) از آغاز، از ابتدا، از اولab initio their plan was doomed to failاز همان آغاز نقشهٔ آنها محکوم به شکست بود.</div></div><br />
ab intra	<div>/<font color="gray">ab in´trǝ</font>/<br><br /><div dir="rtl">(لاتین) از درون</div></div><br />
ab ovo	<div>/<font color="gray">ab ō´vō</font>/<br><br /><div dir="rtl">(لاتین) از تخم، از آغاز، از ابتدا</div></div><br />
ABA	<div><div dir="rtl"><font color="green">مخفف</font><br><ol><li>انجمن وکلای دادگستری امریکا</li><li>انجمن کتابفروشان امریکا</li></ol></div></div><br />
aback	<div>/<font color="gray">ǝ bak´</font>/<br><br /><div dir="rtl"><font color="green">قید</font><br><ol><li>به قهقرا، به سوی عقب، عقب</li><li>(دریانوردی) به سوی دکل* to be taken abackیکه خوردن، جا خوردن</li></ol></div></div><br />
abacus	<div>/<font color="gray">ab´ǝ kǝs</font>/<br><br /><div dir="rtl"><font color="green">اسم،  جمع</font><br><ol><li>چرتکه، چتکه</li><li>(معماری) تخته سنگ روی سر ستون</li><li>جدول، منحنی، آباک</li></ol></div></div><br />
Abaddon	<div>/<font color="gray">ǝ bad´'n</font>/<br><br /><div dir="rtl"><font color="green">اسم</font><br><ol><li>جهان اسفل، مرده سرای</li><li>فرشتهٔ مغاک</li><li>(انجیل) ابدون</li></ol></div></div><br />
abaft	<div>/<font color="gray">ǝ baft´</font>/<br><br /><div dir="rtl"><font color="green">قید،  حرف اضافه</font><br>به سوی عقب یا در عقب کشتی، به سمت پاشنه</div></div><br />
abalone	<div>/<font color="gray">ab´ǝ lō´nē</font>/<br><br /><div dir="rtl"><font color="green">اسم</font><br>آبالون (نوعی صدف دریایی)</div></div><br />
abandon	<div>/<font color="gray">ǝ ban´dǝn</font>/<br><br /><div dir="rtl"><font color="green">فعل متعدی</font><br><ol><li>رها کردن، دست کشیدن، متوقف کردن، ول کردن، صرفنظر کردنdo not abandon hopeامید را از دست نده.they abandoned their attempt to escapeاز کوشش برای فرار دست کشیدند.</li><li>قال گذاشتن، ترک کردنhe abandoned his companion in the middle of the journeyدر وسط سفر دوست خود را ترک کرد.</li><li>خود را تسلیم کردنhe abandoned himself to lecheryاو خود را تسلیم شهوت کرد.</li><li>رهایی، بی‌بند و باری</li><li>اشتیاق، شور و شعفchildish abandonشور و شعف کودکانه* abandoning shipترک ناو</li></ol></div></div><br />
abandoned	<div>/<font color="gray">ǝ ban´dǝnd</font>/<br><br /><div dir="rtl"><font color="green">صفت</font><br><ol><li>متروکه، ترک شده، رها شده، ول شدهan abandoned farmhouseخانه روستایی متروکهan abandoned childکودکی که والدینش او را رها کرده‌اند، بچه سر راهی</li><li>هرزه، دارای فساد اخلاقی</li><li>بی‌بند و بار، بی‌پروا</li></ol></div></div><br />
abase	<div>/<font color="gray">ǝ bās´</font>/<br><br /><div dir="rtl"><font color="green">فعل متعدی</font><br><ol><li>خوار و خفیف کردن، کوچک کردن، فروافکندن، پست کردن، تحقیر کردنthose who are proud shall be abasedآنان که غرور دارند زبون خواهند شد.</li><li>رو به پایین شدن، (به زیر) خمیدنthe abased tips of some birds' wingsنوک خمیدهٔ بال برخی از پرندگان</li></ol></div></div><br />
abash	<div>/<font color="gray">ǝ bash´</font>/<br><br /><div dir="rtl"><font color="green">فعل متعدی</font><br>شرمسار کردن، شرمنده کردن، خجل کردنshe said abashedly ...او با کم رویی گفت ...she was easily abashedاو زود خجالتی می‌شد.his mistake abashed himاشتباهش او را شرمسار کرد.</div></div><br />
abate	<div>/<font color="gray">ǝ bāt´</font>/<br><br /><div dir="rtl"><font color="green">فعل متعدی،  فعل لازم</font><br><ol><li>فروکش کردن، فرو نشستن، کم کردن یا شدن، کاهش یافتنslowly, the flood waters abatedسیلاب کم‌کم فرو نشست.the storm abatedتوفان فروکش کرد.</li><li>کاستن، تخفیف دادنto abate a taxمالیات را تخفیف دادن</li><li>(حقوق) خاتمه دادنto abate an actionعملی را خاتمه دادن</li><li>برطرف کردن، تنزل یافتن، تخفیف یافتن</li></ol></div></div><br />
abatement	<div>/<font color="gray">-mǝnt</font>/<br><br /><div dir="rtl"><font color="green">اسم</font><br><ol><li>فروکش، تسکینthe abatement of mutual hatredکاهش انزجار متقابل</li><li>تخفیف، مبلغ کاسته شده</li><li>(حقوق) خاتمهٔ دعوی یا مزاحمت</li><li>(ریاضی) کاهش، تنزل</li></ol></div></div><br />
abatis	<div>/<font color="gray">ab´ǝ tis</font>/<br><br /><div dir="rtl"><font color="green">اسم،  جمع</font><br>(ارتش) سد یا مانع ساخته شده از تنهٔ درخت</div></div><br />
abattis	<div>/<font color="gray">ab´ǝ tis</font>/<br><br /><div dir="rtl"><font color="green">اسم،  جمع</font><br>(ارتش) سد یا مانع ساخته شده از تنهٔ درخت</div></div><br />
abattoir	<div>/<font color="gray">ab´ǝ twär´</font>/<br><br /><div dir="rtl"><font color="green">اسم</font><br>کشتارگاه، مسلخ</div></div><br />
abaxial	<div>/<font color="gray">ab aks´ē ǝl</font>/<br><br /><div dir="rtl"><font color="green">صفت</font><br><ol><li>خارج از محور، فرا محوری، پشتی</li><li>(سینما) دور از محور، بجز محوری، لنگ</li><li>(گیاه‌شناسی) ورا اسه، ورا اسه‌ای، دور شونده از ساقه</li></ol></div></div><br />
abbé	<div>/<font color="gray">a´bā</font>/<br><br /><div dir="rtl"><font color="green">اسم</font><br>(فرانسه - عنوان) کشیش، عابد</div></div><br />
abba	<div>/<font color="gray">ab´ǝ</font>/<br><br /><div dir="rtl"><font color="green">اسم</font><br><ol><li>پدر، ابا، ابو</li><li>عبا</li></ol></div></div><br />
abbacy	<div>/<font color="gray">ab´ǝ sē</font>/<br><br /><div dir="rtl"><font color="green">اسم،  جمع</font><br>قلمرو یا مقام یا مقر راهب</div></div><br />
Abbassid	<div>/<font color="gray">ǝ bas´id</font>/<br><br /><div dir="rtl"><font color="green">اسم،  صفت</font><br>(خلفای) عباسی</div></div><br />
abbatial	<div>/<font color="gray">ǝ bā´shǝl</font>/<br><br /><div dir="rtl"><font color="green">صفت</font><br>راهبی، راهبانه، خانقاهی</div></div><br />
abbess	<div>/<font color="gray">ab´ǝs</font>/<br><br /><div dir="rtl"><font color="green">اسم</font><br>سر راهبه، مادر روحانی، سرپرست صومعه</div></div><br />
Abbevillian	<div>/<font color="gray">ab´ǝ vil´ē ǝn</font>/<br><br /><div dir="rtl"><font color="green">صفت</font><br>وابسته به دوران کهنه سنگی سفلی</div></div><br />
abbey	<div>/<font color="gray">ab´ē</font>/<br><br /><div dir="rtl"><font color="green">اسم</font><br><ol><li>صومعه، خانقاه، دیر</li><li>راهبان یا راهبه‌های صومعه</li><li>کلیسای صومعه، کلیسای وابسته به صومعهWestminster Abbeyکلیسای وستمینستر (در لندن)she was buried in the abbeyاو را در کلیسای صومعه دفن کردند.</li></ol></div></div><br />
abbr	<div><div dir="rtl"><font color="green">مخفف</font><br><ol><li>کوته نوشته</li><li>کوتاه‌سازی، علامت اختصاری</li></ol></div></div><br />
abbrev	<div><div dir="rtl"><font color="green">مخفف</font><br><ol><li>کوته نوشته</li><li>کوتاه‌سازی، علامت اختصاری</li></ol></div></div><br />
abbreviate	<div>/<font color="gray">ǝ brē´vē āt´</font>/<br><br /><div dir="rtl"><font color="green">فعل متعدی</font><br><ol><li>کوتاه کردن، مختصر کردنthe marriage ceremony was abbreviated by rainباران موجب شد که مراسم ازدواج کوتاه بشود.</li><li>مخفف کردن، خلاصه کردنan abbreviated storyداستان خلاصه شدهto abbreviate "building" as "bldg"واژهٔ "building" را به صورت "bldg" مخفف کردن</li></ol></div></div><br />
abbreviation	<div>/<font color="gray">ǝ brē´vē ā´shǝn</font>/<br><br /><div dir="rtl"><font color="green">اسم</font><br><ol><li>کوتاه‌سازی، اختصار، کوته‌نوشت، مخفف‌سازی، مخففthe abbreviation of Christmas into Xmasمخفف سازی "Christmas" به صورت "Xmas"</li><li>متن مختصر شده، ملخص</li><li>مخفف، تلخیص، خلاصهthis is an abbreviation of the original storyاین خلاصه‌ای از داستان اصلی است.</li><li>علامت اختصاری</li></ol></div></div><br />
ABC	<div>/<font color="gray">ā´bē´sē´</font>/<br><br /><div dir="rtl"><font color="green">اسم،  جمع</font><br><ol><li>(معمولا جمع) الفبا</li><li>اصول، مقدمات، مبانی</li><li>(مخفف: American Broadcasting Company) سازمان سخن‌پراکنی امریکا</li></ol></div></div><br />
ABC soil	<div><div dir="rtl">مقطع عمودی خاک متشکل از سه لایه (خاک خوب، خاک رس، سنگ)، نیمرخ خاک با افق‌های مشخص سه‌گانه</div></div><br />
ABD	<div><div dir="rtl">کسی که همهٔ واحدهای دورهٔ دکترا را گذرانده است بجز رسالهٔ دکترا</div></div><br />
abdicate	<div>/<font color="gray">ab´di kāt´</font>/<br><br /><div dir="rtl"><font color="green">فعل متعدی،  فعل لازم</font><br><ol><li>استعفا کردن یا دادن، (مسئولیت) سلب کردن، از عهدهٔ خود برداشتن</li><li>(از سلطنت) کناره‌گیری کردنMohammad Alishah was forced to abdicateمحمد علی‌شاه وادار به استعفا شد.</li><li>تفویض کردن، دست برداشتن، صرفنظر کردنto abdicate an opinionاز عقیده‌ای صرفنظر کردن</li><li>عاق کردن، از ارث محروم کردنa father who abdicates his sonپدری که پسر خود را عاق می‌کند</li></ol></div></div><br />
abdomen	<div>/<font color="gray">ab´dǝ mǝn</font>/<br><br /><div dir="rtl"><font color="green">اسم</font><br><ol><li>شکم، بطن</li><li>(مهره‌داران) بخش داخلی بدن از سینه تالگن خاصره</li><li>(بند پایان) بخش خلفی بدن (که شامل اعضای تناسلی نیز می‌شود)</li></ol></div></div><br />
abdominal	<div>/<font color="gray">ab däm´ǝ nǝl</font>/,  /<font color="gray">ǝb-</font>/<br><br /><div dir="rtl"><font color="green">صفت</font><br>شکمی، بطنی، مربوط به شکمabdominal painدرد شکم* abdominal pouch(کانگورو و غیره) کیسهٔ شکمی (marsupium هم می‌گویند)* abdominal region(کالبدشناسی) ناحیهٔ شکمی (هریک از نه بخشی که شکم به آن تقسیم می‌شود)</div></div><br />
abducent	<div>/<font color="gray">ab dōō´sǝnt</font>/<br><br /><div dir="rtl"><font color="green">صفت</font><br>(عضله) دور کننده، ورا برنده</div></div><br />
abduct	<div>/<font color="gray">ab dukt´</font>/,  /<font color="gray">ǝb-</font>/<br><br /><div dir="rtl"><font color="green">فعل متعدی</font><br><ol><li>آدم‌ربایی کردن، آدم دزدیدنhis son was abducted by a group of terroristsیک دسته تروریست پسر او را دزدیدند.</li><li>(زیست شناسی) از محور بدن دور کردن، ورا بردن، جدا کردنto abduct adjoining fingersانگشت‌های مجاور را از هم دور کردن</li></ol></div></div><br />
abduction	<div>/<font color="gray">ab duk´shǝn</font>/,  /<font color="gray">ǝb-</font>/<br><br /><div dir="rtl"><font color="green">اسم</font><br><ol><li>آدم ربایی، آدم دزدی</li><li>(زیست شناسی) دور سازی از محور بدن، ورابریthe abduction of a limbورابری یک اندام</li></ol></div></div><br />
Abdul-Aziz	<div>/<font color="gray">äb´dōōl ä zēz´</font>/<br><br /><div dir="rtl">عبدالعزیز (سلطان عثمانی)</div></div><br />
Abdul-Hamid II	<div>/<font color="gray">-hä mēd´</font>/<br><br /><div dir="rtl">عبدالحمید دوم (سلطان عثمانی)</div></div><br />
Abdul-Medjid	<div>/<font color="gray">-me jēd´</font>/<br><br /><div dir="rtl">عبدالمجید (سلطان عثمانی)</div></div><br />
Abdul-Mejid	<div>/<font color="gray">-me jēd´</font>/<br><br /><div dir="rtl">عبدالمجید (سلطان عثمانی)</div></div><br />
abeam	<div>/<font color="gray">ǝ bēm´</font>/<br><br /><div dir="rtl"><font color="green">قید،  صفت</font><br><ol><li>عمود بر درازای کشتی</li><li>واقع در وسط و پهلوی کشتی</li></ol></div></div><br />
abecedarian	<div>/<font color="gray">ā´bē sē der´ē ǝn</font>/<br><br /><div dir="rtl"><font color="green">اسم،  صفت</font><br><ol><li>ابجدآموز، نوآموز، مبتدی، تازه‌کار</li><li>ابتدایی، اولیه، آغازین</li><li>الفبایی، وابسته به الفبا، واتی</li></ol></div></div><br />
abed	<div>/<font color="gray">ǝ bed´</font>/<br><br /><div dir="rtl"><font color="green">قید،  صفت</font><br>در بستر، در تختخواب، بستریsick abedبیمار بستریabed and asleepدر بستر و در خواب</div></div><br />
Abel	<div>/<font color="gray">ā´bǝl</font>/<br><br /><div dir="rtl">هابیل (فرزند آدم و حوا)</div></div><br />
Aberdeen	<div>/<font color="gray">ab´ǝr dēn´</font>/<br><br /><div dir="rtl">بندر ابردین (اسکاتلند)</div></div><br />
Aberdeen Angus	<div>/<font color="gray">ab´ǝr dēn´ aŋ´gǝs</font>/<br><br /><div dir="rtl">گاو سیاه و بی‌شاخ و پروار</div></div><br />
Abernathy	<div>/<font color="gray">ab´ǝr nath´ē</font>/<br><br /><div dir="rtl">رالف دیوید ابرناتی (کشیش و یکی از رهبران سیاهپوستان امریکا)</div></div><br />
aberrant	<div>/<font color="gray">ab er´ǝnt</font>/<br><br /><div dir="rtl"><font color="green">صفت</font><br><ol><li>گمراه، منحرف، کج‌رو، کج‌راه، ابیراه، بیراه</li><li>نامعمول، ناهنجار، غیر عادی، نابهنجارaberrant behaviorرفتار غیر عادی (نابهنجار)</li></ol></div></div><br />
aberration	<div>/<font color="gray">ab´ǝr ā´shǝn</font>/<br><br /><div dir="rtl"><font color="green">اسم</font><br><ol><li>ابیراهی، بیراهی، کج‌راهی، گمراهی، انحراف، کج‌روی، ضلالتaberration rateمیزان انحرافmoral aberrationانحراف اخلاقیstellar aberrationابیراهی ستاره‌ای</li><li>نابهنجاری، غیر عادی یا غیر معمول بودن، نقص، اختلالstatistical aberrationانحراف آماری</li><li>جنون، دیوانگی</li><li>عدم انطباق کانونی</li><li>نابجایی، انحراف از وضع طبیعی</li></ol></div></div><br />
abet	<div>/<font color="gray">ǝ bet´</font>/<br><br /><div dir="rtl"><font color="green">فعل متعدی</font><br>شریک جرم کسی شدن، برانگیختن، تحریک به عمل بد کردن، به معاونت جرم واداشتن، همدستی کردنto abet the commission of a crimeدر ارتکاب جرم شریک بودنaiding and abetting the enemyکمک و همدستی با دشمن</div></div><br />
abeyance	<div>/<font color="gray">ǝ bā´ǝns</font>/<br><br /><div dir="rtl"><font color="green">اسم</font><br><ol><li>تعلیق، وقفه، سکونthat law has been in abeyance for many yearsآن قانون سال‌ها است که به حال تعلیق در آمده است.</li><li>(حقوق) بلاتکلیفی* fall into abeyanceبه حالت تعلیق درآوردن</li></ol></div></div><br />
abhor	<div>/<font color="gray">ab hôr´</font>/<br><br /><div dir="rtl"><font color="green">فعل متعدی</font><br><ol><li>تنفر داشتن، منزجر بودن، نفرت داشتن، بیزار بودنshe abhors hunting animalsاو از شکار حیوانات نفرت دارد.I abhor the smell of garlicمن از بوی سیر بیزارم.</li><li>احتراز کردن، پرهیز کردن، دوری کردنthe university should abhor mediocrityدانشگاه باید از پایین بردن سطح آموزش اجتناب کند.</li></ol></div></div><br />
abhorrence	<div>/<font color="gray">-hôr´ǝns</font>/,  /<font color="gray">-här´-</font>/<br><br /><div dir="rtl"><font color="green">اسم</font><br><ol><li>تنفر، نفرت، انزجار، بیزاریafter seeing the corpses, I could not hide my abhorrenceپس از دیدن اجساد نتوانستم انزجار خود را پنهان کنم.</li><li>مورد نفرت</li></ol></div></div><br />
abhorrent	<div>/<font color="gray">-ǝnt</font>/<br><br /><div dir="rtl"><font color="green">صفت</font><br><ol><li>تنفرآور، منزجر کننده، نفرت انگیز، فجیع، مشمئز کنندهtorture is abhorrent to meشکنجه برایم نفرت‌انگیز است.</li><li>مخالف، ضد، مغایر، برخلاف</li><li>متنفر، مشمئز</li></ol></div></div><br />
abide	<div>/<font color="gray">ǝ bīd´</font>/<br><br /><div dir="rtl"><font color="green">فعل لازم،  فعل متعدی</font><br><ol><li>پابرجا ماندن، باقی ماندن، دوام آوردن، پایدار ماندنthat memory will abide in my mind foreverآن خاطره همیشه در ذهنم خواهد ماند.</li><li>(قدیمی) اقامت کردن، ماندن</li><li>منتظر ماندن</li><li>تحمل کردن، تاب آوردنI could not abide her any moreدیگر نمی‌توانستم او را تحمل کنم.</li><li>چشم به راه چیزی بودن، ماندن، به سر بردنwe shall abide till the battle is wonتا هنگام پیروزی در نبرد (در اینجا) خواهیم ماند.* abide by1- به وعده وفا کردن، به قول خود عمل کردن 2- پیروی کردن از، گردن نهادن به، اطاعت کردنAkbar abided by his promiseاکبر به قول خود وفا کرد.</li></ol></div></div><br />
abiding	<div>/<font color="gray">ǝ bid´iŋ</font>/<br><br /><div dir="rtl"><font color="green">صفت</font><br>همیشگی، ابدی، جاودانه، پایا، پایدار، برقرار، ماندگار، مانا</div></div><br />
Abidjan	<div>/<font color="gray">ab´ǝ jän´</font>/<br><br /><div dir="rtl">بندر ابی‌جان (در کشور ساحل عاج)</div></div><br />
Abigail	<div>/<font color="gray">ab´ǝ gāl´</font>/<br><br /><div dir="rtl">اسم خاص مونث</div></div><br />
Abilene	<div>/<font color="gray">ab´ǝ lēn´</font>/<br><br /><div dir="rtl">ابیلین (شهری در ایالت تگزاس - امریکا)</div></div><br />
A-bomb	<div>/<font color="gray">ā´bäm´</font>/<br><br /><div dir="rtl"><font color="green">اسم،  فعل متعدی</font><br><ol><li>بمب اتمی</li><li>با بمب اتمی حمله کردن، بمباران اتمی کردن (atomic bomb هم می‌نویسند)</li></ol></div></div><br />
A/C	<div><div dir="rtl"><font color="green">مخفف</font><br><ol><li>(دفترداری و حسابداری) حساب (account)</li><li>حساب جاری (account current)</li></ol></div></div><br />
A-frame	<div>/<font color="gray">ā´frām´</font>/<br><br /><div dir="rtl"><font color="green">صفت،  اسم</font><br>(معماری) خانه‌ای که چهارچوب اصلی آن به شکل A است (و شیروانی آن شیب تند دارد)</div></div><br />
A-horizon	<div>/<font color="gray">ā´hǝ rī´zǝn</font>/<br><br /><div dir="rtl"><font color="green">اسم</font><br>(خاک شناسی) رویهٔ فرازین خاک که از هوموس (گیاخاک یا سیاخاک) تشکیل شده است، گیاخاک (رجوع شود به:<a href="bword://ABC soil">ABC soil</a>)</div></div><br />
A-line	<div>/<font color="gray">ā´līn´</font>/<br><br /><div dir="rtl"><font color="green">صفت</font><br>لباسی که در بالا چسبان و در پایین گشاد است</div></div><br />
A/o	<div><div dir="rtl"><font color="green">مخفف</font><br>(اقتصاد) به حساب، دروجه</div></div><br />
a/o	<div><div dir="rtl"><font color="green">مخفف</font><br>(اقتصاد) به حساب، دروجه</div></div><br />
A-OK	<div>/<font color="gray">ā´ō kā´</font>/<br><br /><div dir="rtl"><font color="green">صفت</font><br>(عامیانه) بسیار خوب، درجه یک، عالی (A-Okay هم می‌نویسند)</div></div><br />
