##name	Sample: Aryanpour (2021) (en-fa, fa-en)
##input_file_size	29885
##edition	2021.01.02
##copyright	Licensed under the <a href="https://creativecommons.org/licenses/by-sa/3.0/legalcode">Creative Commons Attribution-ShareAlike 3.0 Unported</a> license
##publisher	Saeed Rasooli
##creationTime	2020-12-07
##sourceLang	English
##targetLang	Persian
A level	(انگلیس) مرحلهٔ دوم و پیشرفته‌تر امتحانات دورهٔ متوسطه (که معمولا دو سال بعد از امتحان اول انجام می‌شود) (رجوع شود به:O level)، قبولی در این امتحانات (A-level هم می‌نویسند)\n\n
A one	/ā´ wun´/\n\n(در اصل) روش برآورد ارزش کشتی‌ها: "A" مبین خوبی و استحکام بدنه است و "one" مبین خوبی وسایل و موتور کشتی(عامیانه) عالی، درجه یک (A1 و A number 1 هم می‌نویسند)\n
a|A	/ā/\n\nاسم،  جمع\nحرف اول الفبای انگلیسیهر یک از اصواتی که این حرف در زبان انگلیسی دارد(هر چیز شامل اقلام و اجزا) قلم اولهر چیز به شکل:Aوابسته به حرف A* from A to Zاز الف تا ی، از اول تا آخر\n
a posteriori	/ā´ päs tir´ē ôr´ī´/\n\n(منطق) از معلول به علت، از جز به کل، استقرایی، استنتاجیمبتنی بر تجربه و مشاهده، تجربی، آزمون مدارانه، وابسته به پدیده سنجی (مخالف از علت به معلول یا: a priori)"where there is smoke, something is burning" is a posteriori reasoning((هر جا دود باشد چیزی می‌سوزد)) استدلال استنتاجی است.\n
a priori	/ā´ prī ôr´ī/\n\n(استدلال) از علت به معلول، از کلیات به جزئیات، قیاسی، استدلال پیش سوی"you slept little last night and worked hard today; therefore, you are tired" is a priori reasoningاستدلال ((تو دیشب کم خوابیدی و امروز خیلی کار کردی، بنابراین خسته هستی)) یک استدلال علت به معلول است.تئوری و نظری (در مقابل تجربی و عملی)بدون بررسی یا آزمایش قبلیReza's a priori rejection of my proposal disappointed meاز اینکه رضا پیشنهادم را بی‌درنگ رد کرد دلخور شدم.\n
a tempo	/ä tem´pō/\n\n(دستور نواختن موسیقی) به وزن پیشین برگردید\n\n
A-bomb	/ā´bäm´/\n\nاسم،  فعل متعدی\nبمب اتمیبا بمب اتمی حمله کردن، بمباران اتمی کردن (atomic bomb هم می‌نویسند)\n
A-frame	/ā´frām´/\n\nصفت،  اسم\n(معماری) خانه‌ای که چهارچوب اصلی آن به شکل A است (و شیروانی آن شیب تند دارد)\n\n
A-horizon	/ā´hǝ rī´zǝn/\n\nاسم\n(خاک شناسی) رویهٔ فرازین خاک که از هوموس (گیاخاک یا سیاخاک) تشکیل شده است، گیاخاک (رجوع شود به:ABC soil)\n\n
A-line	/ā´līn´/\n\nصفت\nلباسی که در بالا چسبان و در پایین گشاد است\n\n
A-OK	/ā´ō kā´/\n\nصفت\n(عامیانه) بسیار خوب، درجه یک، عالی (A-Okay هم می‌نویسند)\n\n
A-proposition	/ā´präp´ǝ zish´ǝn/\n\nاسم\n(منطق) قضیه مثبت عمومی\n\n
A/C	مخفف\n(دفترداری و حسابداری) حساب (account)حساب جاری (account current)\n
A/o|a/o	مخفف\n(اقتصاد) به حساب، دروجه\n\n
A1C	مخفف\nگروهبان یکم (نیروی هوایی امریکا)\n\n
AA	مخفف\nالکلی‌های ناشناسضد هواییفوق دیپلم در علوم انسانی\n
AAA	مخفف\nانجمن اتومبیلرانی امریکا\n\n
AAAL	مخفف\nفرهنگستان هنر و ادبیات امریکا\n\n
AAAS	مخفف\nانجمن توسعهٔ علوم امریکا\n\n
aah	/ä/\n\nاسم،  فعل لازم\nآخ و واخآخ و واخ کردنthey were oohing and aahing over the new TV showsآنها با دیدن نمایش‌های جدید تلویزیون اه و اوه می‌کردند.\n
AAM	مخفف\nموشک هوا به هوا\n\n
aardvark	/ärd´värk´/\n\nاسم\nخوک خاکی (Tubulidentata و Orycteropus afer)\n\n
aardwolf	/ärd´woolf´/\n\nاسم،  جمع\nگرگ خاکی (Proteles cristatas - از خانوادهٔ کفتار)\n\n
aargh|aarrgh|aarrghh	/är/\n\nحرف ندا\n(صوت یا ندای حاکی از تنفر یا تهوع) اه\n\n
Aaron	/er´ǝn/\n\nاسم\nاسم خاص مذکر(انجیل) هارون\n
Aaronic	/er än´ik/\n\nصفت\nهارونی، وابسته به هارون(کلیسای مورمون) وابسته به کشیشان درجه دوم\n
AAU	اتحادیهٔ ورزشکاران آماتور\n\n
AAUP	انجمن استادان دانشگاه‌های امریکا\n\n
AB	مخفف\nایالت آلبرتا (در کانادا)(بیس‌بال) تعداد ضربهلیسانس علوم انسانی\n
ab initio	/ab´i nish´ē ō´/\n\n(لاتین) از آغاز، از ابتدا، از اولab initio their plan was doomed to failاز همان آغاز نقشهٔ آنها محکوم به شکست بود.\n\n
ab intra	/ab in´trǝ/\n\n(لاتین) از درون\n\n
ab ovo	/ab ō´vō/\n\n(لاتین) از تخم، از آغاز، از ابتدا\n\n
ab-	/ab/,  /ǝb/\n\nپیشوند\nبر کنار از، دور، دور از، از [abdicate]\n\n
ABA	مخفف\nانجمن وکلای دادگستری امریکاانجمن کتابفروشان امریکا\n
aback	/ǝ bak´/\n\nقید\nبه قهقرا، به سوی عقب، عقب(دریانوردی) به سوی دکل* to be taken abackیکه خوردن، جا خوردن\n
abacus	/ab´ǝ kǝs/\n\nاسم،  جمع\nچرتکه، چتکه(معماری) تخته سنگ روی سر ستونجدول، منحنی، آباک\n
Abaddon	/ǝ bad´'n/\n\nاسم\nجهان اسفل، مرده سرایفرشتهٔ مغاک(انجیل) ابدون\n
abaft	/ǝ baft´/\n\nقید،  حرف اضافه\nبه سوی عقب یا در عقب کشتی، به سمت پاشنه\n\n
abalone	/ab´ǝ lō´nē/\n\nاسم\nآبالون (نوعی صدف دریایی)\n\n
abandon	/ǝ ban´dǝn/\n\nفعل متعدی\nرها کردن، دست کشیدن، متوقف کردن، ول کردن، صرفنظر کردنdo not abandon hopeامید را از دست نده.they abandoned their attempt to escapeاز کوشش برای فرار دست کشیدند.قال گذاشتن، ترک کردنhe abandoned his companion in the middle of the journeyدر وسط سفر دوست خود را ترک کرد.خود را تسلیم کردنhe abandoned himself to lecheryاو خود را تسلیم شهوت کرد.رهایی، بی‌بند و باریاشتیاق، شور و شعفchildish abandonشور و شعف کودکانه* abandoning shipترک ناو\n
abandoned	/ǝ ban´dǝnd/\n\nصفت\nمتروکه، ترک شده، رها شده، ول شدهan abandoned farmhouseخانه روستایی متروکهan abandoned childکودکی که والدینش او را رها کرده‌اند، بچه سر راهیهرزه، دارای فساد اخلاقیبی‌بند و بار، بی‌پروا\n
abase	/ǝ bās´/\n\nفعل متعدی\nخوار و خفیف کردن، کوچک کردن، فروافکندن، پست کردن، تحقیر کردنthose who are proud shall be abasedآنان که غرور دارند زبون خواهند شد.رو به پایین شدن، (به زیر) خمیدنthe abased tips of some birds' wingsنوک خمیدهٔ بال برخی از پرندگان\n
abash	/ǝ bash´/\n\nفعل متعدی\nشرمسار کردن، شرمنده کردن، خجل کردنshe said abashedly ...او با کم رویی گفت ...she was easily abashedاو زود خجالتی می‌شد.his mistake abashed himاشتباهش او را شرمسار کرد.\n\n
abate	/ǝ bāt´/\n\nفعل متعدی،  فعل لازم\nفروکش کردن، فرو نشستن، کم کردن یا شدن، کاهش یافتنslowly, the flood waters abatedسیلاب کم‌کم فرو نشست.the storm abatedتوفان فروکش کرد.کاستن، تخفیف دادنto abate a taxمالیات را تخفیف دادن(حقوق) خاتمه دادنto abate an actionعملی را خاتمه دادنبرطرف کردن، تنزل یافتن، تخفیف یافتن\n
abatement	/-mǝnt/\n\nاسم\nفروکش، تسکینthe abatement of mutual hatredکاهش انزجار متقابلتخفیف، مبلغ کاسته شده(حقوق) خاتمهٔ دعوی یا مزاحمت(ریاضی) کاهش، تنزل\n
abatis|abattis	/ab´ǝ tis/\n\nاسم،  جمع\n(ارتش) سد یا مانع ساخته شده از تنهٔ درخت\n\n
abattoir	/ab´ǝ twär´/\n\nاسم\nکشتارگاه، مسلخ\n\n
abaxial	/ab aks´ē ǝl/\n\nصفت\nخارج از محور، فرا محوری، پشتی(سینما) دور از محور، بجز محوری، لنگ(گیاه‌شناسی) ورا اسه، ورا اسه‌ای، دور شونده از ساقه\n
abba	/ab´ǝ/\n\nاسم\nپدر، ابا، ابوعبا\n
abbacy	/ab´ǝ sē/\n\nاسم،  جمع\nقلمرو یا مقام یا مقر راهب\n\n
Abbassid	/ǝ bas´id/\n\nاسم،  صفت\n(خلفای) عباسی\n\n
abbatial	/ǝ bā´shǝl/\n\nصفت\nراهبی، راهبانه، خانقاهی\n\n
abbess	/ab´ǝs/\n\nاسم\nسر راهبه، مادر روحانی، سرپرست صومعه\n\n
Abbevillian	/ab´ǝ vil´ē ǝn/\n\nصفت\nوابسته به دوران کهنه سنگی سفلی\n\n
abbey	/ab´ē/\n\nاسم\nصومعه، خانقاه، دیرراهبان یا راهبه‌های صومعهکلیسای صومعه، کلیسای وابسته به صومعهWestminster Abbeyکلیسای وستمینستر (در لندن)she was buried in the abbeyاو را در کلیسای صومعه دفن کردند.\n
abbr|abbrev	مخفف\nکوته نوشتهکوتاه‌سازی، علامت اختصاری\n
abbreviate	/ǝ brē´vē āt´/\n\nفعل متعدی\nکوتاه کردن، مختصر کردنthe marriage ceremony was abbreviated by rainباران موجب شد که مراسم ازدواج کوتاه بشود.مخفف کردن، خلاصه کردنan abbreviated storyداستان خلاصه شدهto abbreviate "building" as "bldg"واژهٔ "building" را به صورت "bldg" مخفف کردن\n
abbreviation	/ǝ brē´vē ā´shǝn/\n\nاسم\nکوتاه‌سازی، اختصار، کوته‌نوشت، مخفف‌سازی، مخففthe abbreviation of Christmas into Xmasمخفف سازی "Christmas" به صورت "Xmas"متن مختصر شده، ملخصمخفف، تلخیص، خلاصهthis is an abbreviation of the original storyاین خلاصه‌ای از داستان اصلی است.علامت اختصاری\n
abbé	/a´bā/\n\nاسم\n(فرانسه - عنوان) کشیش، عابد\n\n
ABC	/ā´bē´sē´/\n\nاسم،  جمع\n(معمولا جمع) الفبااصول، مقدمات، مبانی(مخفف: American Broadcasting Company) سازمان سخن‌پراکنی امریکا\n
ABC soil	مقطع عمودی خاک متشکل از سه لایه (خاک خوب، خاک رس، سنگ)، نیمرخ خاک با افق‌های مشخص سه‌گانه\n\n
ABD	کسی که همهٔ واحدهای دورهٔ دکترا را گذرانده است بجز رسالهٔ دکترا\n\n
abdicate	/ab´di kāt´/\n\nفعل متعدی،  فعل لازم\nاستعفا کردن یا دادن، (مسئولیت) سلب کردن، از عهدهٔ خود برداشتن(از سلطنت) کناره‌گیری کردنMohammad Alishah was forced to abdicateمحمد علی‌شاه وادار به استعفا شد.تفویض کردن، دست برداشتن، صرفنظر کردنto abdicate an opinionاز عقیده‌ای صرفنظر کردنعاق کردن، از ارث محروم کردنa father who abdicates his sonپدری که پسر خود را عاق می‌کند\n
abdomen	/ab´dǝ mǝn/\n\nاسم\nشکم، بطن(مهره‌داران) بخش داخلی بدن از سینه تالگن خاصره(بند پایان) بخش خلفی بدن (که شامل اعضای تناسلی نیز می‌شود)\n
abdominal	/ab däm´ǝ nǝl/,  /ǝb-/\n\nصفت\nشکمی، بطنی، مربوط به شکمabdominal painدرد شکم* abdominal pouch(کانگورو و غیره) کیسهٔ شکمی (marsupium هم می‌گویند)* abdominal region(کالبدشناسی) ناحیهٔ شکمی (هریک از نه بخشی که شکم به آن تقسیم می‌شود)\n\n
abducent	/ab dōō´sǝnt/\n\nصفت\n(عضله) دور کننده، ورا برنده\n\n
abduct	/ab dukt´/,  /ǝb-/\n\nفعل متعدی\nآدم‌ربایی کردن، آدم دزدیدنhis son was abducted by a group of terroristsیک دسته تروریست پسر او را دزدیدند.(زیست شناسی) از محور بدن دور کردن، ورا بردن، جدا کردنto abduct adjoining fingersانگشت‌های مجاور را از هم دور کردن\n
abduction	/ab duk´shǝn/,  /ǝb-/\n\nاسم\nآدم ربایی، آدم دزدی(زیست شناسی) دور سازی از محور بدن، ورابریthe abduction of a limbورابری یک اندام\n
Abdul-Aziz	/äb´dōōl ä zēz´/\n\nعبدالعزیز (سلطان عثمانی)\n\n
Abdul-Hamid II	/-hä mēd´/\n\nعبدالحمید دوم (سلطان عثمانی)\n\n
Abdul-Medjid|Abdul-Mejid	/-me jēd´/\n\nعبدالمجید (سلطان عثمانی)\n\n
abeam	/ǝ bēm´/\n\nقید،  صفت\nعمود بر درازای کشتیواقع در وسط و پهلوی کشتی\n
abecedarian	/ā´bē sē der´ē ǝn/\n\nاسم،  صفت\nابجدآموز، نوآموز، مبتدی، تازه‌کارابتدایی، اولیه، آغازینالفبایی، وابسته به الفبا، واتی\n
abed	/ǝ bed´/\n\nقید،  صفت\nدر بستر، در تختخواب، بستریsick abedبیمار بستریabed and asleepدر بستر و در خواب\n\n
Abel	/ā´bǝl/\n\nهابیل (فرزند آدم و حوا)\n\n
Aberdeen	/ab´ǝr dēn´/\n\nبندر ابردین (اسکاتلند)\n\n
Aberdeen Angus	/ab´ǝr dēn´ aŋ´gǝs/\n\nگاو سیاه و بی‌شاخ و پروار\n\n
Abernathy	/ab´ǝr nath´ē/\n\nرالف دیوید ابرناتی (کشیش و یکی از رهبران سیاهپوستان امریکا)\n\n
aberrant	/ab er´ǝnt/\n\nصفت\nگمراه، منحرف، کج‌رو، کج‌راه، ابیراه، بیراهنامعمول، ناهنجار، غیر عادی، نابهنجارaberrant behaviorرفتار غیر عادی (نابهنجار)\n
aberration	/ab´ǝr ā´shǝn/\n\nاسم\nابیراهی، بیراهی، کج‌راهی، گمراهی، انحراف، کج‌روی، ضلالتaberration rateمیزان انحرافmoral aberrationانحراف اخلاقیstellar aberrationابیراهی ستاره‌اینابهنجاری، غیر عادی یا غیر معمول بودن، نقص، اختلالstatistical aberrationانحراف آماریجنون، دیوانگیعدم انطباق کانونینابجایی، انحراف از وضع طبیعی\n
abet	/ǝ bet´/\n\nفعل متعدی\nشریک جرم کسی شدن، برانگیختن، تحریک به عمل بد کردن، به معاونت جرم واداشتن، همدستی کردنto abet the commission of a crimeدر ارتکاب جرم شریک بودنaiding and abetting the enemyکمک و همدستی با دشمن\n\n
abeyance	/ǝ bā´ǝns/\n\nاسم\nتعلیق، وقفه، سکونthat law has been in abeyance for many yearsآن قانون سال‌ها است که به حال تعلیق در آمده است.(حقوق) بلاتکلیفی* fall into abeyanceبه حالت تعلیق درآوردن\n
abhor	/ab hôr´/\n\nفعل متعدی\nتنفر داشتن، منزجر بودن، نفرت داشتن، بیزار بودنshe abhors hunting animalsاو از شکار حیوانات نفرت دارد.I abhor the smell of garlicمن از بوی سیر بیزارم.احتراز کردن، پرهیز کردن، دوری کردنthe university should abhor mediocrityدانشگاه باید از پایین بردن سطح آموزش اجتناب کند.\n
abhorrence	/-hôr´ǝns/,  /-här´-/\n\nاسم\nتنفر، نفرت، انزجار، بیزاریafter seeing the corpses, I could not hide my abhorrenceپس از دیدن اجساد نتوانستم انزجار خود را پنهان کنم.مورد نفرت\n
abhorrent	/-ǝnt/\n\nصفت\nتنفرآور، منزجر کننده، نفرت انگیز، فجیع، مشمئز کنندهtorture is abhorrent to meشکنجه برایم نفرت‌انگیز است.مخالف، ضد، مغایر، برخلافمتنفر، مشمئز\n
abide	/ǝ bīd´/\n\nفعل لازم،  فعل متعدی\nپابرجا ماندن، باقی ماندن، دوام آوردن، پایدار ماندنthat memory will abide in my mind foreverآن خاطره همیشه در ذهنم خواهد ماند.(قدیمی) اقامت کردن، ماندنمنتظر ماندنتحمل کردن، تاب آوردنI could not abide her any moreدیگر نمی‌توانستم او را تحمل کنم.چشم به راه چیزی بودن، ماندن، به سر بردنwe shall abide till the battle is wonتا هنگام پیروزی در نبرد (در اینجا) خواهیم ماند.* abide by1- به وعده وفا کردن، به قول خود عمل کردن 2- پیروی کردن از، گردن نهادن به، اطاعت کردنAkbar abided by his promiseاکبر به قول خود وفا کرد.\n
abiding	/ǝ bid´iŋ/\n\nصفت\nهمیشگی، ابدی، جاودانه، پایا، پایدار، برقرار، ماندگار، مانا\n\n
Abidjan	/ab´ǝ jän´/\n\nبندر ابی‌جان (در کشور ساحل عاج)\n\n
Abigail	/ab´ǝ gāl´/\n\nاسم خاص مونث\n\n
Abilene	/ab´ǝ lēn´/\n\nابیلین (شهری در ایالت تگزاس - امریکا)\n\n
