##name	300 random entrie from Aryanpour (2021) (en-fa, fa-en)
##input_file_size	63187
##edition	2021.01.02
##copyright	Licensed under the <a href="https://creativecommons.org/licenses/by-sa/3.0/legalcode">Creative Commons Attribution-ShareAlike 3.0 Unported</a> license
##publisher	Saeed Rasooli
##creationTime	2020-12-07
##sourceLang	English
##targetLang	Persian
excuse	<div>/<font color="gray">ek skyōōz´</font>/<br>\n<div dir="rtl"><font color="green">فعل متعدی</font><br><ol><li>بخشیدن، پوزش (کسی را) پذیرفتن، پوزشمند دانستن، عفو کردن، معذرت خواستنexcuse me!پوزش می‌خواهم‌!، ببخشید!excuse me, may I open the window?ببخشید، اجازه می‌دهید پنجره را باز کنم‌؟I can never excuse his rudenessهرگز نمی توانم بی ادبی او را ببخشم.she kept coughing and sneezing in my face and did not even excuse herselfاو مرتب در صورتم سرفه و عطسه می‌کرد و معذرت هم نمی‌خواست.excuse my having interrupted youاز این که حرف شما را قطع کردم ببخشید.she excused herself and left the meetingاو با عرض معذرت جلسه را ترک کرد.</li><li>بی تقصیر دانستن، مقصر نشناختن، (گناه یا قصور و غیره) نادیده گرفتن، موجه دانستن، چشم پوشی کردنit is easy to excuse one's own faultsتوجیه عیوب خویشتن آسان است.an excused absenceغیبت موجه</li><li>(از اجرای تعهد یا قول یا وظیفه و غیره) معذور داشتن، عذر کسی را پذیرفتن، بهانه آوردنhe excused religious minorities from taking part in school prayerاو اقلیت‌های مذهبی را از شرکت در دعای مدرسه معاف کرد.the judge excused the young man's fineقاضی مرد جوان را از پرداخت جریمه معذور داشت.</li><li>(به ویژه در کلاس یا دادگاه و غیره) اذن خروج دادن، اجازهٔ بیرون رفتن دادن، مرخص کردنclass is excused!کلاس مرخص است‌!</li><li>توجیه کردن، شناساندنa selfish act which nothing will excuseعملی خودپسندانه که هیچ چیز آن را توجیه نمی‌کند</li><li>پوزش، معذرت، عذرخواهی، عذر تراشیplease give them my excusesلطفا از سوی من از آنها پوزش بخواه.she is always making excuses for being lateاو همیشه از دیر آمدن خودش عذرخواهی می‌کند.</li><li>معذوریت، عذر، بهانه، دلیل (عدم انجام و غیره)، دستاویزto offer excusesبهانه آوردنthere's no excuse for what you didکاری که شما کردید قابل بخشش نیست.lazy people have many excusesاشخاص تنبل خیلی بهانه می‌آورند.what is your excuse this time?این دفعه بهانه‌ات چیست‌؟* a poor (or bad or lame) excuse forنمونهٔ بدی از (چیزی یا کسی)he is a poor excuse for a teacherاو معلم بدی است.* excuse oneselfپوزش خواستن، معذرت خواستن* make one's excuses(به خاطر عدم شرکت در چیزی یا قصور و غیره) پوزش خواستن</li></ol></div></div>
expressly	<div>/<font color="gray">eks pres´lē</font>/,  /<font color="gray">ik spres´-</font>/<br>\n<div dir="rtl"><font color="green">قید</font><br><ol><li>صریحا، آشکارا، بی پرده، رک و راستhe told us expressly to refrain from smokingاو صریحا از ما خواست که از سیگار کشیدن خودداری کنیم.</li><li>مخصوص، محض خاطرthe house was bought expressly for herخانه را مخصوصا برای او خریده بودند.</li></ol></div></div>
fall guy	<div><div dir="rtl">(امریکا ـ خودمانی ـ کسی که تقصیر را به گردن او می‌اندازند) تقصیر گیر، سپر بلا</div></div>
fast break	<div><div dir="rtl">(بسکتبال) یورش تند به حلقهٔ حریف (پیش از آنکه حریف فرصت دفاع داشته باشد)</div></div>
ferriferous	<div>/<font color="gray">fǝ rif´ǝr ǝs</font>/<br>\n<div dir="rtl"><font color="green">صفت</font><br>آهن دار، آهن زا، آهن آور، آهن خیز</div></div>
finishing school	<div><div dir="rtl">(مدرسهٔ دخترانه که علاوه بر دروس معمولی به آنان آداب زندگی و معاشرت و خانه داری می آموختند) مدرسهٔ تکمیل ساز، مدرسهٔ معرفت آموز</div></div>
grogram	<div>/<font color="gray">gräg´rǝm</font>/<br>\n<div dir="rtl"><font color="green">اسم</font><br>صوف ابریشمی، پارچهٔ ضخیم و زبر که سابقا از پشم و ابریشم می‌بافتند و به آن صمغ و آهار می‌زدند، لباس دوخته شده از این پارچه، پارچهٔ خورجینی</div></div>
handspike	<div>/<font color="gray">hand´spīk´</font>/<br>\n<div dir="rtl"><font color="green">اسم</font><br>(میلهٔ فلزی که برای چرخاندن سرپیچ‌های بزرگ یا گردونهٔ لنگر و غیره در داخل سوراخ قرار می‌گیرد و اهرم‌وار آن را می‌چرخاند) میله، میل دستی</div></div>
heavy spar	<div><div dir="rtl">رجوع شود به:<a href="bword://barite">barite</a></div></div>
hexenbesen	<div>/<font color="gray">hek´sǝn bā´zǝn</font>/<br>\n<div dir="rtl"><font color="green">اسم</font><br>رجوع شود به:<a href="bword://witches'-broom">witches'-broom</a></div></div>
humongous	<div>/<font color="gray">hyōō mäŋ´gǝs</font>/<br>\n<div dir="rtl"><font color="green">صفت</font><br>(امریکا - خودمانی) عظیم، گنده، خرس، قد فیل</div></div>
iceskate	<div><div dir="rtl"><font color="green">فعل لازم</font><br>روی یخ اسکی کردن، یخسکی (یخ اسکی) کردن، پاتیناژ کردن ice skater</div></div>
if	<div>/<font color="gray">if</font>/<br>\n<div dir="rtl"><ul><li><font color="green">حرف ربط،  اسم</font><br><ol><li>اگر، چنانچه، درصورتی کهif he comes, I'll talk to himاگر بیاید با او حرف خواهم زد.if I were you, I would not do thatاگر به جای شما بودم آن کار را نمی‌کردم.even if she was there, I didn't see herاگر هم آنجا بود من او را ندیدم.</li><li>آیا، که آیاask Hassan if he knows Javadاز حسن بپرس که آیا جواد را می‌شناسد.</li><li>(عامیانه - به نشان شگفتی یا آزردگی و غیره)well, if that isn't the limit!خب دیگه چی‌!if I had only known!افسوس که نمی‌دانستم‌!، چه حیف شد!</li><li>فرض، حدس، هر آینه، شرطa contract that is full of ifsقراردادی که پر از شرط است* as ifچنانچه گوییhe talks loud as if I am deafبلند حرف می‌زند مثل اینکه من کرم.* ifs and butsشرط و فرض، تردید و تاـخیر، اگر و اماها* if a pig had wings it could flyاگر را کاشتند سبز نشد* if it ain't broke, don't fix itسری که درد نمی‌کند دستمال نبند</li></ol></li><li><font color="green">مخفف</font><br><ol><li>(بیس‌بال) حاشیهٔ زمین</li><li>بسامد متوسط، فرکانس میانی</li></ol></li></ul></div></div>
initiative	<div>/<font color="gray">i nish´ǝ tiv</font>/,  /<font color="gray">-ē ǝ tiv</font>/<br>\n<div dir="rtl"><font color="green">صفت،  اسم</font><br><ol><li>آغازگرانه، پیشقدمانه، مقدماتی، اولیه</li><li>آغازگری، پیشقدمی، پیشگامی، ابتکار، تازه‌آوری، نوآوریa new Russian initative must now be anticipatedاکنون باید در انتظار پیشگامی جدید روس‌ها بود.through his initiative the project was put into effectطرح به ابتکار او به اجرا درآمد.</li><li>حق بردن لایحه به پارلمان</li></ol></div></div>
intercollegiate	<div>/<font color="gray">in´tǝr kǝ lē´jit</font>/<br>\n<div dir="rtl"><font color="green">صفت</font><br>میان دانشگاهیintercollegiate athleticsورزش‌های میان دانشگاهی</div></div>
iron curtain	<div><div dir="rtl">(اشاره به شوروی سابق و کشورهای زیر سلطهٔ آن) پردهٔ آهنین</div></div>
irresponsive	<div>/<font color="gray">-siv</font>/<br>\n<div dir="rtl"><font color="green">صفت</font><br>غیرراغب، ناپذیرا، ناپاسخگوی، ناواکنشگر</div></div>
jaunting car	<div><div dir="rtl">(به ویژه در ایرلند - سدهٔ نوزدهم) درشگهٔ دوچرخه (سبک و بی‌سقف)</div></div>
jour	<div><div dir="rtl"><font color="green">مخفف</font><br><ol><li>ژورنال، روزانه</li><li>کارگر ورزیده، اوستاکار</li></ol></div></div>
knotted	<div>/<font color="gray">-id</font>/<br>\n<div dir="rtl"><font color="green">صفت</font><br><ol><li>بسته شده یا محکم شده با گره، گره‌زده</li><li>پر گره، قلمبه‌دار، گره‌دار</li><li>گیردار، گیرکرده، گوریده، درهم ژولیده</li><li>پیچیده، غامض، پرجزئیات، دشوارa knotted situationوضعیت گره خورده (یا دشوار)</li><li>گیج کننده</li></ol></div></div>
labradorite	<div>/<font color="gray">lab´rǝ dôr īt´</font>/,  /<font color="gray">lab´rǝ dôr´-</font>/<br>\n<div dir="rtl"><font color="green">اسم</font><br>(سنگ شناسی) لابرادوریت (نوعی فلدسپار رنگین)</div></div>
lateral	<div>/<font color="gray">lat´ǝr ǝl</font>/<br>\n<div dir="rtl"><font color="green">صفت،  اسم،  فعل لازم</font><br><ol><li>(به یک سوی یا طرف) پهلو سوی، پهلویی، جانبی، جنبی، کنارین، کنارگین، برکران، جناحی، یک وریlateral movementحرکت پهلو سویthe lateral branches of a treeشاخه‌های کناری درختlateral deviationانحراف کنارینa lateral viewمنظرهٔ جانبی</li><li>(زبان شناسی و آواشناسی) کناریlateral-fricativeکناری - سایشی</li><li>بخش کنارین، عضو کنارین، شاخهٔ پهلویی</li><li>(فوتبال امریکایی) رجوع شود به:<a href="bword://lateral pass">lateral pass</a></li><li>(معدن) دالان فرعی (در راستای دالان اصلی)</li><li>(فوتبال امریکایی) پاس دادن به کنار</li></ol></div></div>
liquidation	<div>/<font color="gray">lik´wi dā´shǝn</font>/<br>\n<div dir="rtl"><font color="green">اسم</font><br><ol><li>واریز، تسویه، پرداخت</li><li>نقد سازی، نقدینه سازی، واریز</li><li>انحلال، تصفیه، برچیدن</li><li>نابودی، براندازی* go into liquidation(شرکت یاموسسهٔ بازرگانی) دارایی‌ها را نقد کردن و قروض را دادن و شرکت را منحل کردن</li></ol></div></div>
lithium	<div>/<font color="gray">lith´ē ǝm</font>/<br>\n<div dir="rtl"><font color="green">اسم</font><br>(شیمی) لیتیم (مادهٔ شیمیایی فلزی و نرم و سیمین فام که سبکترین فلز شناخته شده است - نشان آن: Li، وزن اتمی: 6/941، عدد اتمی: 3، نقطهٔ گداز:180/5 c، نقطهٔ جوش: 1336c)</div></div>
llano	<div>/<font color="gray">lä´nō</font>/<br>\n<div dir="rtl"><font color="green">اسم،  جمع</font><br>(امریکای لاتین) دشت، چمن‌زار</div></div>
logomachy	<div>/<font color="gray">lō gäm´ǝ kē</font>/<br>\n<div dir="rtl"><font color="green">اسم،  جمع</font><br>دعوای لفظی، جنگ زبانی، واژپیکار، لغت جنگی</div></div>
lowbrow	<div>/<font color="gray">-brou´</font>/<br>\n<div dir="rtl"><font color="green">اسم،  صفت</font><br><ol><li>(تحقیر آمیز)</li><li>کسی که از نظر سلیقه و فکر در سطح پایین است، آدم پست اندیش، بی معرفت، عامی</li><li>وابسته به پست اندیشیa lowbrow bookکتاب عامی پسند</li></ol></div></div>
merbromin	<div>/<font color="gray">mǝr brō´min</font>/<br>\n<div dir="rtl"><font color="green">اسم</font><br>رجوع شود به:<a href="bword://Mercurochrome">Mercurochrome</a></div></div>
mettle	<div>/<font color="gray">met´'l</font>/<br>\n<div dir="rtl"><font color="green">اسم</font><br>خمیره، طینت، غیرت، جوهر، جربزهa soldier of mettleسرباز باغیرتour team members proved their mettleافراد تیم ما جوهر خود را بروز دادند.he wanted to try his mettle against the seaاو می‌خواست طاقت خود را در برابر دریا بیازماید.* on one's mettleآمادهٔ کوشش، سرغیرت</div></div>
musette	<div>/<font color="gray">myōō zet´</font>/<br>\n<div dir="rtl"><font color="green">اسم</font><br><ol><li>(فرانسه - سده های 17 و 18 - سازبادی شبیه bagpipe) موزت، نی انبان</li><li>رجوع شود به:<a href="bword://musette bag">musette bag</a></li><li>آهنگ آرام روستایی</li></ol></div></div>
nonstop	<div>/<font color="gray">nän´stäp´</font>/<br>\n<div dir="rtl"><font color="green">صفت،  قید</font><br><ol><li>(ترن و اتوبوس و غیره) یکسره، بی‌توقفa nonstop flightپرواز مستقیم (بدون فرود آمدن در راه)</li><li>یک ریز، مدام، بی‌وقفه، پایسته، پیوستهit rained nonstopلاینقطع باران آمد.</li></ol></div></div>
orthodox	<div>/<font color="gray">ôr´thǝ däks´</font>/<br>\n<div dir="rtl"><font color="green">صفت</font><br><ol><li>(مذهب یا سیاست و غیره) پذیرفته، هماهنگ با اصول معمول، ارتاخش، به روال، معمول، عادیorthodox ideasعقاید به روال (معمولی)her behavior was not at all orthodoxرفتار او اصلا عادی نبود.</li><li>(مطابق با اصول پذیرفتهٔ مذهبی به ویژه مسیحیت سنتی) حنیف، درست آیین، ارتاکیش، راستینan orthodox Christianیک مسیحی راستین</li><li>(O بزرگ) یهودی ارتدکس (که شدیدا از تورات و تلمود و رسوم شنبه و کوشر پیروی می‌کند)</li><li>(O بزرگ) وابسته به کلیسای ارتدکس یا کلیسای شرقی</li><li>رسمی، قشری، مورد تایید دولت (یا مقامات رسمی)، متعارفیorthodox Marxismمارکسیسم متعارفی (پذیرفته)</li></ol></div></div>
peg-top	<div>/<font color="gray">peg´täp´</font>/<br>\n<div dir="rtl"><font color="green">صفت</font><br><ol><li>گلابی شکل، گلابی سان</li><li>وابسته به تنبان گلابی شکل</li></ol></div></div>
perforce	<div>/<font color="gray">pǝr fôrs´</font>/<br>\n<div dir="rtl"><font color="green">قید</font><br>اجبارا، الزاما، به ناچار، ناگزیر، بزور</div></div>
photodynamic	<div>/<font color="gray">fōt´ō dī nam´ik</font>/<br>\n<div dir="rtl"><font color="green">صفت</font><br>(وابسته به انرژی نور) نور پویا، شید پویا</div></div>
presently	<div>/<font color="gray">prez´ǝnt lē</font>/<br>\n<div dir="rtl"><font color="green">قید</font><br><ol><li>به زودی، در مدتی کم، زود، تندshe went and returned presentlyاو رفت و زود برگشت.</li><li>اکنون، ایدون، حالا، حال، فعلاpresently he is unemployedفعلا بیکار است.</li><li>(قدیمی) فورا، بلافاصله</li></ol></div></div>
prolonge	<div>/<font color="gray">prō länj´</font>/<br>\n<div dir="rtl"><font color="green">اسم</font><br>طناب قلابدار</div></div>
psilocin	<div>/<font color="gray">sī´lō sin</font>/<br>\n<div dir="rtl"><font color="green">اسم</font><br>(داروی هذیان آور) سیلوسین</div></div>
quadruplicate	<div>/<font color="gray">kwä drōō´pli kāt´</font>/<br>\n<div dir="rtl"><font color="green">صفت،  اسم،  فعل متعدی</font><br><ol><li>چهار نسخه (از چیزی) برداشتن، چهار نسخه‌ای کردن</li><li>چهار برابر</li><li>چهارمین نسخه، چهارمین روگرفت</li><li>هر یک از چهار نسخه</li><li>(ریاضی) به توان چهار* in quadruplicateدر چهار نسخه، در چهار روگرفت</li></ol></div></div>
quaking aspen	<div><div dir="rtl">(گیاه شناسی) سپیدار لرزان (Populus tremuloides)</div></div>
radio astronomy	<div><div dir="rtl">نجوم رادیویی، اخترشناسی رادیویی</div></div>
red grouse	<div><div dir="rtl">(جانورشناسی) با قرقره سرخ، سرخ مرغ (نوعی سیاه مرغ بومی انگلیس: Lagopus lagopus scoticus)</div></div>
redware	<div>/<font color="gray">red´wer´</font>/<br>\n<div dir="rtl"><font color="green">اسم</font><br>(گیاه شناسی) کتانجک سرخ (جنس Laminaria)</div></div>
reges	<div>/<font color="gray">rē´jēz´</font>/<br>\n<div dir="rtl"><font color="green">اسم</font><br>جمع واژهٔ: Rex</div></div>
resile	<div>/<font color="gray">ri zīl´</font>/<br>\n<div dir="rtl"><font color="green">فعل متعدی</font><br>(به ویژه در مورد چیزهای لاستیکی یا کش‌مانند) کشسان بودن، واجهیدن، واپریدن، خاصیت فنری یا کشسانی داشتن، ورجه کردن</div></div>
rivulet	<div>/<font color="gray">riv´yoo lit</font>/<br>\n<div dir="rtl"><font color="green">اسم</font><br>رود کوچک، رودچه، رودک، نهر، (اصفهانی) مادی</div></div>
